"year","fuente","values"
2008,"contraparte_nacional",8.01
2008,"bid_birf",5.28
2008,"ingresos_propios",602.12
2008,"recursos_fiscales",1997.9
2009,"contraparte_nacional",2.1
2009,"bid_birf",2.8
2009,"ingresos_propios",759.05
2009,"recursos_fiscales",2218.67
2010,"contraparte_nacional",3.05
2010,"bid_birf",3.51
2010,"ingresos_propios",959.32
2010,"recursos_fiscales",3001.22
2011,"contraparte_nacional",1.7
2011,"bid_birf",5.72
2011,"ingresos_propios",1283.14
2011,"recursos_fiscales",3945.44
2012,"contraparte_nacional",1.15
2012,"bid_birf",12.12
2012,"ingresos_propios",1153.21
2012,"recursos_fiscales",3538.47
2013,"contraparte_nacional",2.14
2013,"bid_birf",12.54
2013,"ingresos_propios",1327.52
2013,"recursos_fiscales",4102.14
2014,"contraparte_nacional",0.77
2014,"bid_birf",3.87
2014,"ingresos_propios",1402.98
2014,"recursos_fiscales",4446.58
2015,"contraparte_nacional",1.95
2015,"bid_birf",6.92
2015,"ingresos_propios",2166.51
2015,"recursos_fiscales",6870.21
2016,"contraparte_nacional",0.48
2016,"bid_birf",6.05
2016,"ingresos_propios",2003.47
2016,"recursos_fiscales",6998.03
2017,"contraparte_nacional",0.07
2017,"bid_birf",0.44
2017,"ingresos_propios",945.66
2017,"recursos_fiscales",3439.4
2018,"contraparte_nacional",0.08
2018,"bid_birf",0.91
2018,"ingresos_propios",1260.86
2018,"recursos_fiscales",4576.74
2019,"contraparte_nacional",0.08
2019,"bid_birf",0.76
2019,"ingresos_propios",1929.05
2019,"recursos_fiscales",6756.65
2020,"contraparte_nacional",0
2020,"bid_birf",1.1
2020,"ingresos_propios",2222.33
2020,"recursos_fiscales",7594.17
2021,"contraparte_nacional",0
2021,"bid_birf",0.46
2021,"ingresos_propios",1343.36
2021,"recursos_fiscales",4758.47
2022,"contraparte_nacional",0
2022,"bid_birf",0.21
2022,"ingresos_propios",1073.01
2022,"recursos_fiscales",3856.06
2023,"contraparte_nacional",0
2023,"bid_birf",0.27
2023,"ingresos_propios",1615.15
2023,"recursos_fiscales",6557.54
2024,"contraparte_nacional",0
2024,"bid_birf",0.71
2024,"ingresos_propios",1774.93
2024,"recursos_fiscales",8631.05
