"grupo_funcional","year","values"
"desarrollo_economico","2008",634.6926692
"desarrollo_economico","2009",819.4345627
"desarrollo_economico","2010",995.6186565
"desarrollo_economico","2011",1342.309729
"desarrollo_economico","2012",1150.703519
"desarrollo_economico","2013",1325.026365
"desarrollo_economico","2014",1424.688212
"desarrollo_economico","2015",2203.917044
"desarrollo_economico","2016",1977.956455
"desarrollo_economico","2017",910.1492852
"desarrollo_economico","2018",1213.166973
"desarrollo_economico","2019",1812.390322
"desarrollo_economico","2020",2020.217392
"desarrollo_economico","2021",1232.543677
"desarrollo_economico","2022",1006.171765
"desarrollo_economico","2023",1581.4156
"desarrollo_economico","2024",1820.435266
"desarrollo_social","2008",1223.669759
"desarrollo_social","2009",1351.095967
"desarrollo_social","2010",1914.848039
"desarrollo_social","2011",2488.096559
"desarrollo_social","2012",2311.234363
"desarrollo_social","2013",2695.36981
"desarrollo_social","2014",2953.636922
"desarrollo_social","2015",4552.327921
"desarrollo_social","2016",4640.26995
"desarrollo_social","2017",2236.604337
"desarrollo_social","2018",2942.057269
"desarrollo_social","2019",4379.826927
"desarrollo_social","2020",5047.184997
"desarrollo_social","2021",3241.255708
"desarrollo_social","2022",2642.07331
"desarrollo_social","2023",4304.61515
"desarrollo_social","2024",5643.319889
"gobierno","2008",160.3632856
"gobierno","2009",198.0551307
"gobierno","2010",247.542903
"gobierno","2011",330.6650442
"gobierno","2012",322.7346703
"gobierno","2013",359.3027525
"gobierno","2014",386.7917157
"gobierno","2015",605.7653683
"gobierno","2016",565.5861255
"gobierno","2017",271.1397754
"gobierno","2018",372.0631915
"gobierno","2019",472.1836702
"gobierno","2020",555.2944983
"gobierno","2021",357.6915398
"gobierno","2022",266.9416673
"gobierno","2023",424.1435321
"gobierno","2024",550.593256
"otras","2008",594.5854247
"otras","2009",614.0252525
"otras","2010",809.0855993
"otras","2011",1074.931513
"otras","2012",920.2747297
"otras","2013",1064.650116
"otras","2014",1089.082175
"otras","2015",1683.575836
"otras","2016",1824.223745
"otras","2017",967.6721184
"otras","2018",1311.302326
"otras","2019",2022.059165
"otras","2020",2194.897335
"otras","2021",1270.802724
"otras","2022",1014.092696
"otras","2023",1862.788596
"otras","2024",2392.340637
